city,population
Cham,16907.0
Diepholz,16882.0
Kronach,16874.0
Kelheim,16714.0
Bad Neustadt,15411.0
Künzelsau,15391.0
Mindelheim,15002.0
Brake,14965.0
Bitburg,14904.0
Ratzeburg,14652.0
Jever,14301.0
Lübben,14024.0
Montabaur,13691.0
Erbach,13666.0
Lauterbach,13664.0
Haßfurt,13609.0
Eichstätt,13525.0
Tauberbischofsheim,13231.0
Neustadt,13121.0
Pfarrkirchen,12677.0
Ebersberg,12239.0
Perleberg,12141.0
Bad Fallingbostel,11852.0
Hildburghausen,11836.0
Miesbach,11562.0
Bad Schwalbach,11187.0
Regen,11001.0
Eisenberg,10885.0
Altötting,10119.0
Bad Ems,9681.0
Lüchow,9420.0
Miltenberg,9355.0
Wunsiedel,9259.0
Herzberg,9027.0
Plön,8914.0
Schleiz,8854.0
Tirschenreuth,8707.0
Beeskow,8042.0
Daun,7974.0
Simmern,7950.0
Kirchheimbolanden,7802.0
Freyung,7166.0
Birkenfeld,6984.0
Altenkirchen,6263.0
Neustadt,5727.0
Seelow,5426.0
Kusel,5405.0
Cochem,5312.0
Offenbach,
Weiden,
Nienburg,
Verden,
Köthen,
Rotenburg,
Karlstadt,
Neustadt,
Homberg,
Garmisch-Partenkirchen,
